Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230628:2009,0.0,0.0,0.0,0.0,0.0,26.03,0.48,0.0
20230628:2109,0.0,0.0,0.0,0.0,0.0,25.21,0.41,0.0
20230628:2209,0.0,0.0,0.0,0.0,0.0,24.72,0.41,0.0
20230628:2309,0.0,0.0,0.0,0.0,0.0,24.06,0.48,0.0
20230629:0009,0.0,0.0,0.0,0.0,0.0,23.4,0.62,0.0
20230629:0109,0.0,0.0,0.0,0.0,0.0,23.01,0.62,0.0
20230629:0209,0.0,0.0,0.0,0.0,0.0,22.83,0.55,0.0
20230629:0309,120200.0,0.0,27.14,0.35,5.57,22.74,0.41,0.0
20230629:0409,845700.0,40.1,96.49,2.4,17.04,23.31,0.07,0.0
20230629:0509,2457000.0,202.16,132.35,4.9,28.98,25.69,0.34,0.0
20230629:0609,4183800.0,395.6,155.54,7.26,41.18,27.8,0.76,0.0
20230629:0709,5519500.0,580.24,166.7,9.29,53.42,29.19,0.41,0.0
20230629:0809,6397600.0,709.54,179.99,10.73,65.27,30.9,0.55,0.0
20230629:0909,6922100.0,797.09,179.75,11.62,75.28,32.23,0.83,0.0
20230629:1009,6994700.0,808.55,179.99,11.74,77.31,33.08,1.03,0.0
20230629:1109,6114500.0,542.59,304.4,10.14,68.91,33.46,1.24,0.0
20230629:1209,5548200.0,518.54,240.37,9.29,57.38,33.36,1.17,0.0
20230629:1309,3685000.0,192.27,304.89,6.26,45.21,32.96,0.76,0.0
20230629:1409,2774200.0,192.92,187.45,5.21,32.97,32.26,0.28,0.0
20230629:1509,1224100.0,112.92,85.15,3.49,20.92,31.4,0.69,0.0
20230629:1609,278800.0,0.0,50.66,0.66,9.27,30.26,1.17,0.0
20230629:1709,0.0,0.0,0.0,0.0,0.0,28.97,1.17,0.0
20230629:1809,0.0,0.0,0.0,0.0,0.0,27.9,0.83,0.0
20230629:1909,0.0,0.0,0.0,0.0,0.0,26.7,0.69,0.0
20230629:2009,0.0,0.0,0.0,0.0,0.0,25.84,0.34,0.0
20230629:2109,0.0,0.0,0.0,0.0,0.0,25.2,0.41,0.0
20230629:2209,0.0,0.0,0.0,0.0,0.0,24.61,0.48,0.0
20230629:2309,0.0,0.0,0.0,0.0,0.0,24.23,0.48,0.0
20230630:0009,0.0,0.0,0.0,0.0,0.0,23.7,0.28,0.0
20230630:0109,0.0,0.0,0.0,0.0,0.0,23.22,0.07,0.0
20230630:0209,0.0,0.0,0.0,0.0,0.0,22.85,0.07,0.0
20230630:0309,62300.0,0.0,18.09,0.23,5.5,22.62,0.34,0.0
20230630:0409,852900.0,34.71,100.46,2.29,16.97,23.06,0.48,0.0
20230630:0509,2459100.0,200.7,132.4,4.88,28.92,25.58,0.97,0.0
20230630:0609,4216500.0,400.97,150.78,7.27,41.12,27.67,1.24,0.0
20230630:0709,5548400.0,577.69,166.74,9.26,53.35,29.15,0.83,0.0
20230630:0809,6434600.0,719.5,173.09,10.77,65.2,31.02,0.69,0.0
20230630:0909,6909200.0,795.5,178.79,11.59,75.2,32.5,0.9,0.0
20230630:1009,7024300.0,817.79,174.03,11.78,77.27,33.44,1.17,0.0
20230630:1109,0.0,0.0,0.0,0.0,0.0,33.93,1.24,0.0
20230630:1209,3626700.0,96.41,394.61,6.05,57.4,33.98,1.1,0.0
20230630:1309,3515900.0,158.43,315.8,5.96,45.22,33.43,0.97,0.0
20230630:1409,2886400.0,236.3,159.64,5.5,32.98,32.75,0.62,0.0
20230630:1509,1225300.0,112.68,86.13,3.49,20.93,31.87,0.14,0.0
20230630:1609,271000.0,0.0,49.76,0.64,9.27,30.83,0.21,0.0
20230630:1709,0.0,0.0,0.0,0.0,0.0,29.69,0.34,0.0
20230630:1809,0.0,0.0,0.0,0.0,0.0,28.76,0.41,0.0
20230630:1909,0.0,0.0,0.0,0.0,0.0,27.76,0.9,0.0
20230630:2009,0.0,0.0,0.0,0.0,0.0,26.76,0.69,0.0
20230630:2109,0.0,0.0,0.0,0.0,0.0,26.31,0.28,0.0
20230630:2209,0.0,0.0,0.0,0.0,0.0,26.06,0.07,0.0
20230630:2309,0.0,0.0,0.0,0.0,0.0,25.39,0.14,0.0
20230701:0009,0.0,0.0,0.0,0.0,0.0,24.78,0.21,0.0
20230701:0109,0.0,0.0,0.0,0.0,0.0,24.3,0.41,0.0
20230701:0209,0.0,0.0,0.0,0.0,0.0,23.79,0.55,0.0
20230701:0309,0.0,0.0,4.52,0.06,5.43,23.55,0.55,0.0
20230701:0409,464000.0,0.0,73.41,0.91,16.9,23.6,0.41,0.0
20230701:0509,2278400.0,131.34,176.33,4.32,28.85,26.14,0.76,0.0
20230701:0609,4146600.0,382.89,161.4,7.15,41.05,28.17,1.17,0.0
20230701:0709,5508400.0,563.07,174.62,9.17,53.28,29.84,1.1,0.0
20230701:0809,6455400.0,689.96,190.0,10.6,65.13,31.4,1.59,0.0
20230701:0909,7002000.0,778.28,187.84,11.48,75.13,32.61,1.93,0.0
20230701:1009,7003300.0,759.32,209.08,11.48,77.23,33.53,2.14,0.0
20230701:1109,6491100.0,654.03,236.34,10.65,68.9,34.03,2.21,0.0
20230701:1209,5919100.0,632.79,167.17,9.82,57.4,34.14,2.41,0.0
20230701:1309,4742200.0,492.77,139.3,8.15,45.23,33.98,2.55,0.0
20230701:1409,2392300.0,91.14,232.72,4.25,32.99,33.24,2.69,0.0
20230701:1509,1240100.0,103.71,93.99,3.39,20.94,32.28,2.14,0.0
20230701:1609,277300.0,0.0,50.66,0.66,9.28,31.29,1.38,0.0
20230701:1709,0.0,0.0,0.0,0.0,0.0,30.01,0.83,0.0
20230701:1809,0.0,0.0,0.0,0.0,0.0,28.86,0.9,0.0
20230701:1909,0.0,0.0,0.0,0.0,0.0,27.41,1.38,0.0
20230701:2009,0.0,0.0,0.0,0.0,0.0,26.58,1.38,0.0
20230701:2109,0.0,0.0,0.0,0.0,0.0,25.89,1.03,0.0
20230701:2209,0.0,0.0,0.0,0.0,0.0,25.2,0.55,0.0
20230701:2309,0.0,0.0,0.0,0.0,0.0,24.92,0.28,0.0
20230702:0009,0.0,0.0,0.0,0.0,0.0,24.58,0.34,0.0
20230702:0109,0.0,0.0,0.0,0.0,0.0,23.92,0.48,0.0
20230702:0209,0.0,0.0,0.0,0.0,0.0,23.67,0.41,0.0
20230702:0309,0.0,0.0,5.43,0.07,5.35,23.32,0.28,0.0
20230702:0409,815700.0,10.93,110.7,1.71,16.83,23.8,0.55,0.0
20230702:0509,2207400.0,108.99,187.45,4.1,28.78,26.01,1.24,0.0
20230702:0609,3921900.0,296.91,214.16,6.64,40.98,27.81,1.66,0.0
20230702:0709,5563000.0,551.27,182.49,9.11,53.21,28.91,1.79,0.0
20230702:0809,6508600.0,675.87,198.97,10.53,65.05,30.48,2.14,0.0
20230702:0909,7061200.0,763.05,197.9,11.41,75.04,31.77,2.48,0.0
20230702:1009,7150600.0,802.05,181.16,11.66,77.18,32.87,2.34,0.0
20230702:1109,6706800.0,747.85,176.96,11.07,68.89,33.67,1.93,0.0
20230702:1209,5607400.0,546.21,222.13,9.4,57.41,33.83,1.24,0.0
20230702:1309,2529800.0,36.77,306.7,4.28,45.24,33.4,0.76,0.0
20230702:1409,3016300.0,293.06,121.73,5.85,33.0,32.75,0.55,0.0
20230702:1509,1229700.0,112.22,86.42,3.46,20.94,31.92,0.69,0.0
20230702:1609,277600.0,0.0,50.66,0.66,9.27,30.98,0.69,0.0
20230702:1709,0.0,0.0,0.0,0.0,0.0,29.86,0.62,0.0
20230702:1809,0.0,0.0,0.0,0.0,0.0,28.87,0.48,0.0
20230702:1909,0.0,0.0,0.0,0.0,0.0,27.8,0.62,0.0
20230702:2009,0.0,0.0,0.0,0.0,0.0,26.78,0.55,0.0
20230702:2109,0.0,0.0,0.0,0.0,0.0,26.03,0.48,0.0
20230702:2209,0.0,0.0,0.0,0.0,0.0,25.18,0.55,0.0
20230702:2309,0.0,0.0,0.0,0.0,0.0,24.48,0.62,0.0
20230703:0009,0.0,0.0,0.0,0.0,0.0,23.98,0.55,0.0
20230703:0109,0.0,0.0,0.0,0.0,0.0,23.76,0.41,0.0
20230703:0209,0.0,0.0,0.0,0.0,0.0,23.44,0.28,0.0
20230703:0309,0.0,0.0,4.52,0.06,5.27,23.01,0.14,0.0
20230703:0409,706600.0,3.49,101.66,1.37,16.75,23.54,0.34,0.0
20230703:0509,2216000.0,109.05,189.29,4.12,28.7,25.94,0.76,0.0
20230703:0609,4201200.0,398.17,155.65,7.28,40.91,27.84,0.76,0.0
20230703:0709,5521400.0,584.3,167.87,9.34,53.14,29.73,0.28,0.0
20230703:0809,6383700.0,728.48,173.28,10.86,64.98,31.49,0.14,0.0
20230703:0909,6889000.0,805.74,180.02,11.71,74.96,32.85,0.48,0.0
20230703:1009,7035500.0,839.97,168.23,11.95,77.12,33.83,0.76,0.0
20230703:1109,6692000.0,783.44,165.08,11.35,68.87,34.35,0.9,0.0
20230703:1209,5850100.0,647.13,165.35,9.96,57.4,34.41,0.9,0.0
20230703:1309,4619400.0,476.78,153.94,8.1,45.24,34.1,0.69,0.0
20230703:1409,3014900.0,287.13,130.18,5.86,33.0,33.53,0.28,0.0
20230703:1509,1245800.0,112.59,89.0,3.5,20.94,32.84,0.41,0.0
20230703:1609,276100.0,0.0,50.66,0.66,9.26,31.94,0.69,0.0
20230703:1709,0.0,0.0,0.0,0.0,0.0,30.68,0.83,0.0
20230703:1809,0.0,0.0,0.0,0.0,0.0,29.49,0.97,0.0
20230703:1909,0.0,0.0,0.0,0.0,0.0,28.22,0.76,0.0
20230703:2009,0.0,0.0,0.0,0.0,0.0,26.87,0.69,0.0
20230703:2109,0.0,0.0,0.0,0.0,0.0,26.24,0.55,0.0
20230703:2209,0.0,0.0,0.0,0.0,0.0,25.66,0.55,0.0
20230703:2309,0.0,0.0,0.0,0.0,0.0,25.01,0.55,0.0
20230704:0009,0.0,0.0,0.0,0.0,0.0,24.35,0.69,0.0
20230704:0109,0.0,0.0,0.0,0.0,0.0,23.63,0.83,0.0
20230704:0209,0.0,0.0,0.0,0.0,0.0,22.92,1.03,0.0
20230704:0309,2200.0,0.0,6.33,0.08,5.19,22.42,1.03,0.0
20230704:0409,848700.0,18.72,110.12,1.94,16.67,23.79,0.69,0.0
20230704:0509,2317900.0,151.71,164.46,4.49,28.63,27.5,0.69,0.0
20230704:0609,3942100.0,326.1,199.88,6.85,40.83,29.9,0.55,0.0
20230704:0709,5263700.0,490.38,224.49,8.84,53.06,31.62,0.76,0.0
20230704:0809,6141600.0,633.28,231.73,10.39,64.89,33.18,0.41,0.0
20230704:0909,6626900.0,743.45,217.05,11.39,74.87,34.47,0.21,0.0
20230704:1009,6868700.0,800.24,188.37,11.71,77.05,35.21,0.76,0.0
20230704:1109,6652000.0,769.47,171.15,11.25,68.85,35.57,1.24,0.0
20230704:1209,5862200.0,643.95,166.43,9.93,57.4,35.51,1.45,0.0
20230704:1309,4625300.0,473.76,155.02,8.06,45.24,35.06,1.31,0.0
20230704:1409,3004100.0,285.21,130.35,5.83,33.0,34.47,0.76,0.0
20230704:1509,1237300.0,114.14,87.28,3.5,20.93,33.58,0.28,0.0
20230704:1609,275300.0,0.0,50.66,0.66,9.25,32.45,0.41,0.0
20230704:1709,0.0,0.0,0.0,0.0,0.0,30.92,0.76,0.0
20230704:1809,0.0,0.0,0.0,0.0,0.0,29.57,0.9,0.0
20230704:1909,0.0,0.0,0.0,0.0,0.0,27.94,1.03,0.0
20230704:2009,0.0,0.0,0.0,0.0,0.0,26.91,0.9,0.0
20230704:2109,0.0,0.0,0.0,0.0,0.0,25.86,0.69,0.0
20230704:2209,0.0,0.0,0.0,0.0,0.0,25.25,0.55,0.0
20230704:2309,0.0,0.0,0.0,0.0,0.0,24.61,0.62,0.0
20230705:0009,0.0,0.0,0.0,0.0,0.0,23.92,0.83,0.0
20230705:0109,0.0,0.0,0.0,0.0,0.0,23.41,0.76,0.0
20230705:0209,0.0,0.0,0.0,0.0,0.0,22.97,0.76,0.0
20230705:0309,84700.0,0.0,21.71,0.28,5.11,22.73,0.62,0.0
20230705:0409,799800.0,43.01,90.0,2.42,16.59,24.04,0.28,0.0
20230705:0509,2454100.0,217.64,119.18,4.97,28.55,26.48,0.34,0.0
20230705:0609,4181200.0,404.04,150.03,7.28,40.75,28.7,0.69,0.0
20230705:0709,0.0,0.0,0.0,0.0,0.0,30.2,0.48,0.0
20230705:0809,6404300.0,715.04,180.39,10.77,64.81,32.08,0.62,0.0
20230705:0909,6928700.0,803.98,180.18,11.67,74.77,33.54,0.9,0.0
20230705:1009,7049700.0,827.47,175.43,11.87,76.98,34.5,1.17,0.0
20230705:1109,6732800.0,782.81,165.25,11.33,68.83,34.85,1.31,0.0
20230705:1209,5882600.0,646.49,166.53,9.95,57.39,34.7,1.24,0.0
20230705:1309,4645000.0,477.06,154.14,8.09,45.24,34.2,1.03,0.0
20230705:1409,3038200.0,292.97,126.6,5.89,32.99,33.56,0.48,0.0
20230705:1509,1249400.0,118.67,84.41,3.55,20.92,32.56,0.21,0.0
20230705:1609,263800.0,0.0,48.85,0.63,9.23,31.41,0.48,0.0
20230705:1709,0.0,0.0,0.0,0.0,0.0,30.01,0.62,0.0
20230705:1809,0.0,0.0,0.0,0.0,0.0,28.88,0.55,0.0
20230705:1909,0.0,0.0,0.0,0.0,0.0,27.8,0.55,0.0
20230705:2009,0.0,0.0,0.0,0.0,0.0,26.7,0.41,0.0
20230705:2109,0.0,0.0,0.0,0.0,0.0,25.88,0.48,0.0
20230705:2209,0.0,0.0,0.0,0.0,0.0,25.2,0.62,0.0
20230705:2309,0.0,0.0,0.0,0.0,0.0,24.72,0.62,0.0
20230706:0009,0.0,0.0,0.0,0.0,0.0,24.66,0.48,0.0
20230706:0109,0.0,0.0,0.0,0.0,0.0,24.16,0.55,0.0
20230706:0209,0.0,0.0,0.0,0.0,0.0,23.53,0.55,0.0
20230706:0309,31200.0,0.0,12.67,0.16,5.02,23.12,0.48,0.0
20230706:0409,840700.0,22.55,107.07,2.03,16.51,23.78,0.34,0.0
20230706:0509,2340000.0,162.44,155.84,4.55,28.47,26.19,0.48,0.0
20230706:0609,4117500.0,383.45,160.71,7.13,40.68,28.28,0.69,0.0
20230706:0709,5483200.0,576.35,168.11,9.22,52.9,30.42,0.55,0.0
20230706:0809,6369900.0,707.89,181.46,10.69,64.72,32.0,0.62,0.0
20230706:0909,6843600.0,783.98,188.27,11.52,74.67,33.28,0.76,0.0
20230706:1009,6957900.0,809.44,181.53,11.72,76.9,34.15,0.97,0.0
20230706:1109,5442100.0,355.17,397.53,9.01,68.79,34.61,1.17,0.0
20230706:1209,5513100.0,511.28,247.87,9.25,57.38,34.6,1.17,0.0
20230706:1309,4540100.0,446.15,171.69,7.89,45.23,34.26,0.9,0.0
20230706:1409,3009600.0,283.84,131.53,5.81,32.98,33.54,0.48,0.0
20230706:1509,1247400.0,116.71,85.58,3.51,20.9,32.5,0.14,0.0
20230706:1609,277200.0,0.0,50.66,0.66,9.21,31.21,0.55,0.0
20230706:1709,0.0,0.0,0.0,0.0,0.0,29.66,0.62,0.0
20230706:1809,0.0,0.0,0.0,0.0,0.0,28.43,0.62,0.0
20230706:1909,0.0,0.0,0.0,0.0,0.0,27.18,1.52,0.0
20230706:2009,0.0,0.0,0.0,0.0,0.0,26.39,1.03,0.0
20230706:2109,0.0,0.0,0.0,0.0,0.0,25.56,0.55,0.0
20230706:2209,0.0,0.0,0.0,0.0,0.0,24.44,0.97,0.0
20230706:2309,0.0,0.0,0.0,0.0,0.0,23.65,1.17,0.0
20230707:0009,0.0,0.0,0.0,0.0,0.0,23.1,0.97,0.0
20230707:0109,0.0,0.0,0.0,0.0,0.0,23.06,0.76,0.0
20230707:0209,0.0,0.0,0.0,0.0,0.0,22.18,0.9,0.0
20230707:0309,22100.0,0.0,10.86,0.14,4.93,21.84,0.9,0.0
20230707:0409,827800.0,18.62,107.32,1.91,16.42,23.01,0.76,0.0
20230707:0509,2034700.0,72.68,200.25,3.66,28.38,25.42,0.76,0.0
20230707:0609,4133000.0,389.97,155.99,7.15,40.59,27.6,0.48,0.0
20230707:0709,5535900.0,564.72,174.08,9.14,52.82,29.77,1.31,0.0
20230707:0809,6414200.0,706.59,181.56,10.66,64.63,31.64,0.9,0.0
20230707:0909,6857600.0,782.71,189.37,11.51,74.56,33.18,0.83,0.0
20230707:1009,6980000.0,809.19,181.63,11.71,76.81,34.14,1.1,0.0
20230707:1109,6575500.0,714.95,202.34,10.93,68.76,34.53,1.52,0.0
20230707:1209,5739400.0,583.22,204.14,9.6,57.36,34.37,1.45,0.0
20230707:1309,4618600.0,472.04,155.36,8.02,45.21,34.03,0.97,0.0
20230707:1409,3035000.0,294.1,124.08,5.85,32.96,33.17,0.48,0.0
20230707:1509,1252900.0,115.34,86.69,3.49,20.88,32.33,0.69,0.0
20230707:1609,270400.0,0.0,49.76,0.64,9.19,31.4,0.83,0.0
20230707:1709,0.0,0.0,0.0,0.0,0.0,30.19,0.97,0.0
20230707:1809,0.0,0.0,0.0,0.0,0.0,29.08,0.9,0.0
20230707:1909,0.0,0.0,0.0,0.0,0.0,28.18,1.03,0.0
20230707:2009,0.0,0.0,0.0,0.0,0.0,27.54,0.9,0.0
20230707:2109,0.0,0.0,0.0,0.0,0.0,26.65,0.76,0.0
20230707:2209,0.0,0.0,0.0,0.0,0.0,25.89,0.76,0.0
20230707:2309,0.0,0.0,0.0,0.0,0.0,25.28,0.97,0.0
20230708:0009,0.0,0.0,0.0,0.0,0.0,24.8,1.1,0.0
20230708:0109,0.0,0.0,0.0,0.0,0.0,24.48,1.03,0.0
20230708:0209,0.0,0.0,0.0,0.0,0.0,24.09,1.03,0.0
20230708:0309,0.0,0.0,3.62,0.05,4.83,23.77,1.03,0.0
20230708:0409,803000.0,18.17,105.63,1.87,16.33,25.23,1.03,0.0
20230708:0509,2294800.0,161.29,152.33,4.48,28.3,27.88,1.17,0.0
20230708:0609,4054400.0,374.65,161.9,7.01,40.51,29.99,1.24,0.0
20230708:0709,5413300.0,554.99,175.15,9.02,52.74,30.73,0.9,0.0
20230708:0809,6381700.0,695.62,182.63,10.53,64.54,32.37,1.31,0.0
20230708:0909,6894000.0,771.62,189.43,11.37,74.45,33.75,1.66,0.0
20230708:1009,7020200.0,797.13,182.7,11.56,76.72,34.71,2.0,0.0
20230708:1109,6403300.0,651.17,237.05,10.57,68.71,35.41,1.93,0.0
20230708:1209,1747900.0,0.0,242.8,3.02,57.33,35.23,1.72,0.0
20230708:1309,4156100.0,319.98,243.93,7.12,45.19,34.68,1.1,0.0
20230708:1409,2990800.0,289.03,124.33,5.77,32.94,33.84,0.48,0.0
20230708:1509,1234200.0,113.97,86.13,3.44,20.86,32.86,0.14,0.0
20230708:1609,276200.0,0.0,50.66,0.66,9.15,31.69,0.0,0.0
20230708:1709,0.0,0.0,0.0,0.0,0.0,30.51,0.28,0.0
20230708:1809,0.0,0.0,0.0,0.0,0.0,29.54,0.76,0.0
20230708:1909,0.0,0.0,0.0,0.0,0.0,29.06,1.1,0.0
20230708:2009,0.0,0.0,0.0,0.0,0.0,28.37,1.17,0.0
20230708:2109,0.0,0.0,0.0,0.0,0.0,27.68,1.1,0.0
20230708:2209,0.0,0.0,0.0,0.0,0.0,26.79,1.03,0.0
20230708:2309,0.0,0.0,0.0,0.0,0.0,26.12,0.9,0.0
20230709:0009,0.0,0.0,0.0,0.0,0.0,25.68,0.9,0.0
20230709:0109,0.0,0.0,0.0,0.0,0.0,25.38,0.9,0.0
20230709:0209,0.0,0.0,0.0,0.0,0.0,24.88,0.97,0.0
20230709:0309,17300.0,0.0,9.95,0.13,4.73,24.49,0.97,0.0
20230709:0409,795600.0,28.95,98.83,2.12,16.24,25.82,0.76,0.0
20230709:0509,2329500.0,182.53,137.88,4.64,28.21,28.67,1.24,0.0
20230709:0609,4066400.0,368.97,165.83,6.98,40.43,30.28,2.0,0.0
20230709:0709,5347500.0,547.15,182.11,9.0,52.65,30.52,0.28,0.0
20230709:0809,6091900.0,622.53,230.19,10.21,64.44,32.09,0.34,0.0
20230709:0909,6292500.0,591.87,302.05,10.56,74.33,33.5,0.41,0.0
20230709:1009,5061600.0,245.22,456.62,8.42,76.62,34.39,0.76,0.0
20230709:1109,3231900.0,38.17,402.81,5.44,68.66,35.01,0.97,0.0
20230709:1209,3427000.0,79.16,387.49,5.75,57.3,35.06,1.03,0.0
20230709:1309,4385900.0,386.55,206.81,7.51,45.17,34.44,1.31,0.0
20230709:1409,1936900.0,34.89,231.12,3.38,32.92,33.2,1.17,0.0
20230709:1509,1246600.0,114.99,86.14,3.45,20.83,32.28,0.41,0.0
20230709:1609,270400.0,0.0,49.76,0.64,9.12,31.26,0.28,0.0
20230709:1709,0.0,0.0,0.0,0.0,0.0,30.29,0.76,0.0
20230709:1809,0.0,0.0,0.0,0.0,0.0,29.48,1.31,0.0
20230709:1909,0.0,0.0,0.0,0.0,0.0,28.8,1.66,0.0
20230709:2009,0.0,0.0,0.0,0.0,0.0,28.26,1.72,0.0
20230709:2109,0.0,0.0,0.0,0.0,0.0,27.8,1.93,0.0
20230709:2209,0.0,0.0,0.0,0.0,0.0,27.36,2.28,0.0
20230709:2309,0.0,0.0,0.0,0.0,0.0,27.08,2.83,0.0
20230710:0009,0.0,0.0,0.0,0.0,0.0,26.93,3.52,0.0
20230710:0109,0.0,0.0,0.0,0.0,0.0,26.44,3.72,0.0
20230710:0209,0.0,0.0,0.0,0.0,0.0,25.94,3.45,0.0
20230710:0309,100600.0,0.0,24.43,0.32,4.64,25.61,3.38,0.0
20230710:0409,545400.0,1.3,83.46,1.08,16.15,26.03,3.45,0.0
20230710:0509,2386200.0,183.53,137.89,4.65,28.12,27.16,4.28,0.0
20230710:0609,4096300.0,338.74,186.07,6.81,40.34,28.54,4.62,0.0
20230710:0709,5797100.0,589.13,157.72,9.22,52.56,30.15,4.9,0.0
20230710:0809,6788500.0,715.56,173.91,10.65,64.34,31.16,4.76,0.0
20230710:0909,7259700.0,780.11,189.7,11.45,74.21,32.11,4.14,0.0
20230710:1009,7344400.0,817.61,175.93,11.71,76.51,32.88,3.59,0.0
20230710:1109,6926500.0,763.36,172.79,11.13,68.61,33.55,3.38,0.0
20230710:1209,6005600.0,628.38,175.01,9.77,57.27,33.77,3.17,0.0
20230710:1309,4699300.0,462.43,160.6,7.92,45.14,33.97,3.1,0.0
20230710:1409,3086500.0,293.53,124.48,5.82,32.89,33.75,3.03,0.0
20230710:1509,1262000.0,116.63,86.09,3.48,20.8,33.0,2.55,0.0
20230710:1609,263300.0,0.0,48.85,0.63,9.08,31.96,1.66,0.0
20230710:1709,0.0,0.0,0.0,0.0,0.0,30.64,0.83,0.0
20230710:1809,0.0,0.0,0.0,0.0,0.0,29.6,1.1,0.0
20230710:1909,0.0,0.0,0.0,0.0,0.0,28.87,2.14,0.0
20230710:2009,0.0,0.0,0.0,0.0,0.0,28.36,2.41,0.0
20230710:2109,0.0,0.0,0.0,0.0,0.0,28.0,2.69,0.0
20230710:2209,0.0,0.0,0.0,0.0,0.0,27.62,2.83,0.0
20230710:2309,0.0,0.0,0.0,0.0,0.0,27.23,2.83,0.0
20230711:0009,0.0,0.0,0.0,0.0,0.0,26.81,2.69,0.0
20230711:0109,0.0,0.0,0.0,0.0,0.0,26.4,2.48,0.0
20230711:0209,0.0,0.0,0.0,0.0,0.0,25.98,2.14,0.0
20230711:0309,94800.0,0.0,23.52,0.3,4.53,25.57,1.93,0.0
20230711:0409,744800.0,43.16,84.43,2.36,16.05,26.21,1.59,0.0
20230711:0509,2443300.0,210.94,122.39,4.88,28.03,27.75,2.41,0.0
20230711:0609,4268900.0,403.36,150.55,7.23,40.25,29.15,3.03,0.0
20230711:0709,5718900.0,562.58,181.37,9.17,52.47,30.23,3.79,0.0
20230711:0809,6775400.0,718.33,181.04,10.76,64.24,31.05,3.52,0.0
20230711:0909,7244900.0,781.97,197.91,11.55,74.09,31.8,3.1,0.0
20230711:1009,7339800.0,823.49,181.13,11.82,76.39,32.44,2.69,0.0
20230711:1109,6911700.0,769.19,176.95,11.24,68.55,32.97,2.34,0.0
20230711:1209,6037000.0,643.58,173.18,9.93,57.23,33.56,2.28,0.0
20230711:1309,4720700.0,465.02,166.51,8.02,45.11,33.91,2.21,0.0
20230711:1409,3105500.0,291.75,131.07,5.86,32.86,33.89,2.21,0.0
20230711:1509,1275300.0,119.49,85.91,3.52,20.76,33.35,2.14,0.0
20230711:1609,269700.0,0.0,49.76,0.64,9.03,32.1,1.86,0.0
20230711:1709,0.0,0.0,0.0,0.0,0.0,30.4,1.1,0.0
20230711:1809,0.0,0.0,0.0,0.0,0.0,29.13,0.48,0.0
20230711:1909,0.0,0.0,0.0,0.0,0.0,27.92,1.1,0.0
20230711:2009,0.0,0.0,0.0,0.0,0.0,26.76,1.72,0.0
20230711:2109,0.0,0.0,0.0,0.0,0.0,26.03,2.0,0.0
20230711:2209,0.0,0.0,0.0,0.0,0.0,25.53,2.21,0.0
20230711:2309,0.0,0.0,0.0,0.0,0.0,25.15,2.28,0.0
20230712:0009,0.0,0.0,0.0,0.0,0.0,24.77,2.34,0.0
20230712:0109,0.0,0.0,0.0,0.0,0.0,24.4,2.28,0.0
20230712:0209,0.0,0.0,0.0,0.0,0.0,24.09,2.21,0.0
20230712:0309,89900.0,0.0,22.62,0.29,4.43,23.85,2.07,0.0
20230712:0409,694000.0,57.82,69.16,2.6,15.96,24.85,1.72,0.0
20230712:0509,2535900.0,246.01,102.31,5.17,27.94,27.83,1.86,0.0
20230712:0609,4389100.0,442.69,133.18,7.54,40.16,29.94,2.28,0.0
20230712:0709,5825400.0,611.36,158.89,9.49,52.38,31.54,2.97,0.0
20230712:0809,6829500.0,749.41,173.22,11.03,64.14,32.86,3.03,0.0
20230712:0909,7281100.0,801.69,197.13,11.76,73.96,33.89,3.03,0.0
20230712:1009,7362600.0,830.41,188.38,11.97,76.27,34.73,2.9,0.0
20230712:1109,6948400.0,777.04,183.14,11.39,68.48,35.39,2.69,0.0
20230712:1209,6022500.0,636.84,188.18,10.01,57.19,35.85,2.34,0.0
20230712:1309,4762100.0,479.47,165.63,8.18,45.07,35.99,2.14,0.0
20230712:1409,3129100.0,297.33,132.92,5.96,32.82,35.67,2.07,0.0
20230712:1509,1287700.0,121.17,87.53,3.57,20.72,34.83,1.72,0.0
20230712:1609,267600.0,0.0,49.76,0.64,8.98,33.4,1.17,0.0
20230712:1709,0.0,0.0,0.0,0.0,0.0,31.86,0.69,0.0
20230712:1809,0.0,0.0,0.0,0.0,0.0,30.43,1.24,0.0
20230712:1909,0.0,0.0,0.0,0.0,0.0,28.91,1.52,0.0
20230712:2009,0.0,0.0,0.0,0.0,0.0,27.88,2.14,0.0
20230712:2109,0.0,0.0,0.0,0.0,0.0,27.09,2.48,0.0
20230712:2209,0.0,0.0,0.0,0.0,0.0,26.58,2.69,0.0
20230712:2309,0.0,0.0,0.0,0.0,0.0,26.11,2.62,0.0
20230713:0009,0.0,0.0,0.0,0.0,0.0,25.73,2.48,0.0
20230713:0109,0.0,0.0,0.0,0.0,0.0,25.45,2.41,0.0
20230713:0209,0.0,0.0,0.0,0.0,0.0,25.17,2.34,0.0
20230713:0309,5400.0,0.0,7.24,0.09,4.32,24.94,2.28,0.0
20230713:0409,756500.0,40.13,87.64,2.32,15.86,25.96,1.93,0.0
